AppID;Name;Release date;Estimated owners;Required age;Price;DLC count;Supported languages;Website;Windows;Mac;Linux;Positive;Negative;Achievements;Average playtime forever;Median playtime forever;Developers;Publishers;Categories
20200;Galactic Bowling;21.10.2008;0 - 20000;0;19.99;0;['English'];http://www.galacticbowling.net;WAHR;FALSCH;FALSCH;6;11;30;0;0;Perpetual FX Creative;Perpetual FX Creative;Single-player,Multi-player,Steam Achievements,Partial Controller Support
655370;Train Bandit;12.10.2017;0 - 20000;0;0.99;0;['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese'];http://trainbandit.com;WAHR;WAHR;FALSCH;53;5;12;0;0;Rusty Moyher;Wild Rooster;Single-player,Steam Achievements,Full controller support,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV
1732930;Jolt Project;17.11.2021;0 - 20000;0;4.99;0;['English', 'Portuguese - Brazil'];;WAHR;FALSCH;FALSCH;0;0;0;0;0;Campião Games;Campião Games;Single-player
1355720;Henosis™;23.07.2020;0 - 20000;0;5.99;0;['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese', 'Russian', 'Simplified Chinese', 'Traditional Chinese'];https://henosisgame.com/;WAHR;WAHR;WAHR;3;0;0;0;0;Odd Critter Games;Odd Critter Games;Single-player,Full controller support
1139950;Two Weeks in Painland;03.02.2020;0 - 20000;0;0;0;['English', 'Spanish - Spain'];https://www.unusual-games.com/home/;WAHR;WAHR;FALSCH;50;8;17;0;0;Unusual Games;Unusual Games;Single-player,Steam Achievements
1469160;Wartune Reborn;26.02.2021;50000 - 100000;0;0;0;['English'];;WAHR;FALSCH;FALSCH;87;49;0;0;0;7Road;7Road;Single-player,Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,In-App Purchases
1659180;TD Worlds;09.01.2022;0 - 20000;0;10.99;1;['English', 'Russian', 'Danish'];;WAHR;FALSCH;FALSCH;21;7;62;0;0;MAKSIM VOLKAU;MAKSIM VOLKAU;Single-player,Steam Achievements,Steam Cloud
1968760;Legend of Rome - The Wrath of Mars;05.05.2022;0 - 20000;0;9.99;0;['English', 'German'];http://magnussoft.biz/;WAHR;FALSCH;FALSCH;0;0;0;0;0;magnussoft;magnussoft;Single-player,Steam Cloud
1178150;MazM: Jekyll and Hyde;02.04.2020;0 - 20000;0;14.99;0;['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'Korean'];http://www.cfk.kr/;WAHR;FALSCH;FALSCH;76;6;25;0;0;Growing Seeds;CFK Co., Ltd.;Single-player,Steam Achievements,Full controller support
320150;Deadlings: Rotten Edition;11.11.2014;50000 - 100000;0;3.99;0;['English', 'Polish', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese', 'Russian', 'Japanese'];http://www.omlgames.com;WAHR;WAHR;WAHR;225;45;32;703;782;ONE MORE LEVEL;ONE MORE LEVEL;Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud
1026420;WARSAW;02.10.2019;20000 - 50000;0;23.99;0;['English', 'French', 'German', 'Polish', 'Russian'];http://warsawthegame.com;WAHR;FALSCH;FALSCH;589;212;34;67;93;Pixelated Milk;Pixelated Milk,gaming company;Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Remote Play on Tablet
485000;Cthulhu Realms;01.07.2016;50000 - 100000;0;0;1;['English'];https://www.cthulhurealms.com/;WAHR;WAHR;FALSCH;147;58;0;224;257;Wise Wizard Games, LLC;Wise Wizard Games, LLC;Single-player,Multi-player,Shared/Split Screen,Cross-Platform Multiplayer,In-App Purchases,Remote Play Together
1620060;Clockwork Dungeon;27.08.2021;0 - 20000;0;1.99;0;['English'];;WAHR;FALSCH;FALSCH;5;0;25;0;0;Beardlings LLC;Beardlings LLC;Single-player,Steam Achievements
825930;Royal Battleships;06.04.2018;20000 - 50000;0;2.99;0;['English'];;WAHR;WAHR;WAHR;36;11;19;11;11;Educational Games;Educational Games;Single-player,Steam Achievements,Steam Leaderboards
1454010;Diary of Lucie;25.11.2020;0 - 20000;0;12.99;0;['English', 'Korean'];;WAHR;FALSCH;FALSCH;100;5;0;0;0;Parange Project;Parange Project;Single-player,Partial Controller Support,Steam Cloud
22670;Alien Breed 3: Descent;17.11.2010;200000 - 500000;0;9.99;0;['English', 'French', 'German', 'Italian', 'Japanese', 'Spanish - Spain'];http://www.team17.com/;WAHR;FALSCH;FALSCH;349;134;13;44;24;Team17 Digital Ltd;Team17 Digital Ltd;Single-player,Multi-player,Co-op,Steam Achievements,Partial Controller Support,Stats,Steam Leaderboards
1330820;Hunting Unlimited 3;06.11.2020;0 - 20000;0;9.99;0;['English'];;WAHR;FALSCH;FALSCH;17;0;0;0;0;SCS Software;Ziggurat;Single-player
346560;Hero of the Kingdom II;20.02.2015;100000 - 200000;0;7.99;0;['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Turkish', 'Czech', 'Portuguese - Brazil', 'Hungarian', 'Polish', 'Italian', 'Dutch', 'Ukrainian', 'Danish', 'Simplified Chinese'];https://www.lonelytroops.com/hotk2/index.htm;WAHR;WAHR;WAHR;2046;120;48;280;303;Lonely Troops;Lonely Troops;Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet
1097880;Super Naughty Maid 2;20.06.2019;0 - 20000;0;9.59;2;['English', 'Traditional Chinese'];;WAHR;FALSCH;FALSCH;0;0;0;34;30;KENZsoft;Denpasoft;Single-player,Steam Trading Cards
1362670;KHIO;24.07.2020;0 - 20000;0;9.99;0;['English'];https://khiogame.com/;WAHR;FALSCH;FALSCH;3;1;0;0;0;Necavare;Necavare;Single-player
290870;Steam Squad;28.07.2016;20000 - 50000;0;17.99;1;['English', 'Russian', 'French', 'German'];http://steamsquad.net/;WAHR;WAHR;WAHR;61;29;32;0;0;Bretwalda Games;Bretwalda Games;Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Cloud,Remote Play Together
575760;Project: R.E.B.O.O.T 2;27.01.2017;20000 - 50000;0;2.99;0;['English'];;WAHR;FALSCH;FALSCH;29;28;0;337;289;Volens Nolens Games;Volens Nolens Games;Single-player,Steam Trading Cards
434030;Aerofly FS 2 Flight Simulator;20.11.2017;100000 - 200000;0;37.49;23;['English', 'German', 'French'];https://www.aerofly.com/;WAHR;WAHR;WAHR;1490;408;0;127;127;IPACS;IPACS;Single-player,Partial Controller Support
810740;Turtle Lu;22.03.2018;20000 - 50000;0;2.99;0;['English'];;WAHR;FALSCH;FALSCH;4;10;0;0;0;Falco Software;;Single-player
2073470;Kanjozoku Game ????;16.07.2022;20000 - 50000;0;5.99;0;['English'];;WAHR;FALSCH;FALSCH;392;57;0;0;0;SG??????;SG??????;Single-player,Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Partial Controller Support
589250;PowersVR;10.10.2020;0 - 20000;0;9.99;0;['English'];;WAHR;FALSCH;FALSCH;37;22;4;0;0;PseudoGames;PseudoGames;Single-player,Steam Achievements
677880;Draw Your Game;10.08.2017;20000 - 50000;0;4.99;0;['English'];;WAHR;FALSCH;FALSCH;18;50;43;0;0;Zero One;Zero One;Single-player,Steam Achievements,Partial Controller Support
1294780;Pathfinders: Memories;16.02.2021;0 - 20000;0;2.99;0;['English', 'Italian', 'Portuguese - Brazil', 'Spanish - Latin America', 'Spanish - Spain', 'Portuguese'];https://menssanainteractive.com/pathfinders-memories/;WAHR;WAHR;FALSCH;38;4;60;0;0;Mens Sana Interactive;Mens Sana Interactive;Single-player,Steam Achievements,Steam Leaderboards
